DateTime,Logined Users,Machine Load
2022-10-22 13:01:48,0,0.0
2022-10-22 13:06:43,0,0.0
2022-10-22 13:11:27,0,0.0
2022-10-22 13:16:27,0,0.0
2022-10-22 13:21:07,0,0.0
2022-10-22 13:26:43,0,0.0
2022-10-22 13:31:37,0,0.0
2022-10-22 13:36:17,0,0.0
2022-10-22 13:41:17,0,0.0
2022-10-22 13:46:43,0,0.0
2022-10-22 13:51:47,0,0.0
2022-10-22 13:56:27,0,0.0
2022-10-22 14:01:07,0,0.0
2022-10-22 14:06:43,0,0.0
2022-10-22 14:11:27,0,0.0
2022-10-22 14:16:07,0,0.0
2022-10-22 14:21:48,0,0.0
2022-10-22 14:28:42,0,0.0
2022-10-22 14:31:37,0,0.0
2022-10-22 14:36:07,0,0.0
2022-10-22 14:41:48,0,0.0
2022-10-22 14:46:37,0,0.0
2022-10-22 14:51:17,0,0.0
2022-10-22 14:56:17,0,0.0
2022-10-22 15:01:48,0,0.0
2022-10-22 15:06:43,0,0.0
2022-10-22 15:11:37,0,0.0
2022-10-22 15:16:17,0,0.0
2022-10-22 15:21:48,0,0.0
2022-10-22 15:26:43,0,0.0
2022-10-22 15:31:47,0,0.0
2022-10-22 15:36:27,0,0.0
2022-10-22 15:41:07,0,0.0
2022-10-22 15:46:43,0,0.0
2022-10-22 15:51:37,0,0.0
2022-10-22 15:56:17,0,0.0
2022-10-22 16:01:48,0,0.0
2022-10-22 16:06:43,0,0.0
2022-10-22 16:11:47,0,0.0
2022-10-22 16:16:27,0,0.0
2022-10-22 16:21:07,0,0.0
2022-10-22 16:28:42,0,0.0
2022-10-22 16:31:37,0,0.0
2022-10-22 16:36:17,0,0.0
2022-10-22 16:41:17,0,0.0
2022-10-22 16:46:43,0,0.0
2022-10-22 16:51:47,0,0.0
2022-10-22 16:56:27,0,0.0
2022-10-22 17:01:07,0,0.0
2022-10-22 17:08:42,0,0.0
2022-10-22 17:11:37,0,0.0
2022-10-22 17:16:37,0,0.0
2022-10-22 17:21:17,0,0.0
2022-10-22 17:26:43,0,0.0
2022-10-22 17:31:47,0,0.0
2022-10-22 17:36:27,0,0.0
2022-10-22 17:41:07,0,0.0
2022-10-22 17:46:43,0,0.0
2022-10-22 17:51:47,0,0.0
2022-10-22 17:56:27,0,0.0
2022-10-22 18:01:07,0,0.0
2022-10-22 18:06:43,0,0.0
2022-10-22 18:11:37,0,0.0
2022-10-22 18:16:17,0,0.0
2022-10-22 18:21:48,0,0.0
2022-10-22 18:26:43,0,0.0
2022-10-22 18:31:27,0,0.0
2022-10-22 18:36:07,0,0.0
2022-10-22 18:41:47,0,0.0
2022-10-22 18:46:27,0,0.0
2022-10-22 18:51:07,0,0.0
2022-10-22 18:56:37,0,0.0
2022-10-22 19:01:17,0,0.0
2022-10-22 19:06:22,0,0.0
2022-10-22 19:11:17,0,0.0
